ind1990,sh_top11970,top11970,earn_res1970,agg_inc1970,num_top11970,us_num_top11970,us_agg_inc1970,sh_agg1970,sh_top11980,top11980,earn_res1980,agg_inc1980,num_top11980,us_num_top11980,us_agg_inc1980,sh_agg1980,sh_top11990,top11990,earn_res1990,agg_inc1990,num_top11990,us_num_top11990,us_agg_inc1990,sh_agg1990,sh_top12000,top12000,earn_res2000,agg_inc2000,num_top12000,us_num_top12000,us_agg_inc2000,sh_agg2000,sh_top12015,top12015,earn_res2015,agg_inc2015,num_top12015,us_num_top12015,us_agg_inc2015,sh_agg2015,change,us_change,sh_agg_incx,sh_change,sh_agg_change
"Photographic equipment and supplies",.0009581,.0071795,.3705208,6967800,700,730600,6.64e+09,.0010495,.0012277,.0083066,.3614259,2.34e+07,1140,928580,1.50e+10,.001557,.0006878,.0073534,.3836504,2.81e+07,765,1112210,3.56e+10,.0007883,,,,,,,,,,,,,,,,,,,,,
"Pipe lines, except natural gas",0,0,.121319,0,0,730600,6.64e+09,0,.00028,.0127202,.3412582,5480172,260,928580,1.50e+10,.000365,.0001376,.0124908,.2954951,5656801,153,1112210,3.56e+10,.0001588,,,,,,,,,,,,,,,,,,,,,
"N/A (not applicable) ",.0372297,.0044556,-.1905116,1.43e+08,27200,730600,6.64e+09,.0214656,.0015723,.0009051,-.1850327,1.47e+07,1460,928580,1.50e+10,.0009767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variety stores",.0013687,.005005,-.1453916,4273298,999.9999,730600,6.64e+09,.0006436,.0005169,.0034697,-.2216346,3776973,480,928580,1.50e+10,.0002516,.0001996,.0026182,-.30101,2877056,222,1112210,3.56e+10,.0000808,,,,,,,,,,,,,,,,,,,,,
"Executive and legislative offices",,,,,,,,,.0008185,.007892,.0703295,1.14e+07,760,928580,1.50e+10,.0007568,.0005098,.0053488,.1134018,1.56e+07,567,1112210,3.56e+10,.0004371,,,,,,,,,,,,,,,,,,,,,
"Electrical machinery, equipment, and supplies, n.s.",.0024637,.0096931,.2106536,1.56e+07,1800,730600,6.64e+09,.0023571,.00168,.0097818,.1164677,2.26e+07,1560,928580,1.50e+10,.0015041,.0034939,.0116943,.214126,1.18e+08,3886,1112210,3.56e+10,.00331,,,,,,,,,,,,,,,,,,,,,
"Office and accounting machines",.0020531,.0115473,.2826558,1.39e+07,1500,730600,6.64e+09,.0020996,.0008185,.0076597,.1901165,1.23e+07,760,928580,1.50e+10,.0008189,.000472,.0109766,.2836387,1.76e+07,525,1112210,3.56e+10,.0004953,,,,,,,,,,,,,,,,,,,,,
"Agricultural services, n.e.c.",.0036956,.0215139,-.1913569,1.83e+07,2700,730600,6.64e+09,.0027611,.0035323,.0163249,-.1869301,3.93e+07,3280,928580,1.50e+10,.0026193,.0003776,.0054408,-.2206278,7244496,420,1112210,3.56e+10,.0002034,,,,,,,,,,,,,,,,,,,,,
"Screw machine products",.0016425,.0159574,.2556879,1.00e+07,1200,730600,6.64e+09,.0015095,.0009046,.0110323,.1935034,1.31e+07,839.9999,928580,1.50e+10,.0008734,.0003776,.0075584,.2186326,1.10e+07,420,1112210,3.56e+10,.0003098,,,,,,,,,,,,,,,,,,,,,
"Miscellaneous textile mill products",.0002737,.0037594,.0832332,1257369,200,730600,6.64e+09,.0001894,.0004523,.0071942,.056244,5274385,420,928580,1.50e+10,.0003513,.0002419,.006081,.1340969,6262022,269,1112210,3.56e+10,.0001758,,,,,,,,,,,,,,,,,,,,,
"Family child care homes",,,,,,,,,,,,,,,,,.0001286,.0003452,-.993386,961221.8,143,1112210,3.56e+10,.000027,,,,,,,,,,,,,,,,,,,,,
"Telegraph and miscellaneous communications services",.0002737,.0049383,.2886934,1646963,200,730600,6.64e+09,.0002481,.00084,.0096106,.1198289,1.18e+07,780,928580,1.50e+10,.0007851,.0005116,.0113641,.3979704,2.15e+07,569,1112210,3.56e+10,.0006032,,,,,,,,,,,,,,,,,,,,,
"Dairy products stores",.0001369,.002079,-.1391442,570374.3,100,730600,6.64e+09,.0000859,.0001508,.003493,-.3169831,1183666,140,928580,1.50e+10,.0000788,.0000225,.0007223,-.2419265,335848.1,25,1112210,3.56e+10,9.43e-06,,,,,,,,,,,,,,,,,,,,,
"Vocational schools",,,,,,,,,.0003446,.0056517,-.226239,3821186,320,928580,1.50e+10,.0002545,.0001609,.0038198,-.2131306,3905130,179,1112210,3.56e+10,.0001096,,,,,,,,,,,,,,,,,,,,,
"Leather tanning and finishing",.0001369,.0043103,.0281999,655280.2,100,730600,6.64e+09,.0000987,.0001508,.0077864,.0184242,1787380,140,928580,1.50e+10,.000119,.0000665,.0063006,.0779624,1645890,74,1112210,3.56e+10,.0000462,,,,,,,,,,,,,,,,,,,,,
"Miscellaneous wood products",.0008212,.0071685,-.1436931,3530645,600,730600,6.64e+09,.0005318,.00084,.0068433,-.1073051,9088952,780,928580,1.50e+10,.0006054,.0008721,.0072437,-.0941664,1.97e+07,970,1112210,3.56e+10,.0005531,,,,,,,,,,,,,,,,,,,,,
