ind1990,sh_top11970,top11970,earn_res1970,agg_inc1970,num_top11970,us_num_top11970,us_agg_inc1970,sh_agg1970,sh_top11980,top11980,earn_res1980,agg_inc1980,num_top11980,us_num_top11980,us_agg_inc1980,sh_agg1980,sh_top11990,top11990,earn_res1990,agg_inc1990,num_top11990,us_num_top11990,us_agg_inc1990,sh_agg1990,sh_top12000,top12000,earn_res2000,agg_inc2000,num_top12000,us_num_top12000,us_agg_inc2000,sh_agg2000,sh_top12015,top12015,earn_res2015,agg_inc2015,num_top12015,us_num_top12015,us_agg_inc2015,sh_agg2015,change,us_change,sh_agg_incx,sh_change,sh_agg_change
"Residential care facilities, without nursing",.0001369,.002924,-.2457128,421681.3,100,730600,6.64e+09,.0000635,.0000862,.0008696,-.2393903,715368.9,80,928580,1.50e+10,.0000476,.0003471,.0013618,-.2143427,6411711,386,1112210,3.56e+10,.00018,.0008878,.0024344,-.1763717,2.66e+07,1143,1287406,6.42e+10,.0004139,.0013481,.0017101,-.1233056,5.12e+07,1630,1209075,9.13e+10,.0005612,1550,280495,.0006623,.0055259,.0005136
"Grain mill products",.001095,.0068729,.0933242,6183368,800,730600,6.64e+09,.0009313,.0010338,.006993,.1577848,1.55e+07,960,928580,1.50e+10,.001032,.0008272,.0088561,.1993739,2.67e+07,920,1112210,3.56e+10,.0007502,.0008537,.009828,.1697557,4.56e+07,1099,1287406,6.42e+10,.0007106,.0013382,.0107697,.2451224,9.75e+07,1618,1209075,9.13e+10,.0010684,658,280495,.0010756,.0023459,.0000364
"Offices and clinics of optometrists",,,,,,,,,.0023261,.0468343,-.0454772,3.97e+07,2160,928580,1.50e+10,.0026459,.0014269,.0275015,-.0300169,4.70e+07,1587,1112210,3.56e+10,.0013207,.0009282,.0146813,.025894,5.29e+07,1195,1287406,6.42e+10,.0008247,.0013151,.012726,.0547923,8.23e+07,1590,1209075,9.13e+10,.0009022,-570,280495,.0005588,-.0020321,-.0017437
"Auto and home supply stores",.0016425,.0070381,-.0336273,8166370,1200,730600,6.64e+09,.00123,.0020677,.006512,-.0320229,2.40e+07,1920,928580,1.50e+10,.001596,.0012399,.0040172,-.0292573,2.82e+07,1379,1112210,3.56e+10,.0007913,.0011519,.003703,-.0383244,4.28e+07,1483,1287406,6.42e+10,.0006665,.0013093,.0034587,-.0997802,5.50e+07,1583,1209075,9.13e+10,.0006021,-337.0001,280495,.0004064,-.0012014,-.000994
"Hardware, plumbing and heating supplies",.0036956,.0249077,.1441249,2.45e+07,2700,730600,6.64e+09,.0036891,.0036184,.0149174,.0854817,5.24e+07,3360,928580,1.50e+10,.0034892,.0028052,.0107386,.1309741,8.46e+07,3120,1112210,3.56e+10,.0023735,.0017159,.0128063,.1453037,9.12e+07,2209,1287406,6.42e+10,.0014205,.0013043,.0087719,.2143364,9.43e+07,1577,1209075,9.13e+10,.0010328,-1783,280495,.0005491,-.0063566,-.0024565
"Miscellaneous repair services ",.0020531,.0064185,-.0506463,1.06e+07,1500,730600,6.64e+09,.0015943,.0020461,.0066041,-.1433322,2.43e+07,1900,928580,1.50e+10,.001618,.0013037,.0039389,-.1319111,3.10e+07,1450,1112210,3.56e+10,.0008711,.0006237,.0022343,-.1720909,2.36e+07,803,1287406,6.42e+10,.000367,.0012985,.0035279,-.0933902,6.53e+07,1570,1209075,9.13e+10,.0007158,-330,280495,.0005381,-.0011765,-.0009022
"Miscellaneous wholesale, durable goods",0,0,.0729888,0,0,730600,6.64e+09,0,.0035754,.0260351,.1013967,5.38e+07,3320,928580,1.50e+10,.0035828,.0018764,.0204084,.0943016,5.82e+07,2087,1112210,3.56e+10,.0016344,.0031932,.0200242,.119623,1.82e+08,4111,1287406,6.42e+10,.002837,.0012663,.0127177,.0908964,9.16e+07,1531,1209075,9.13e+10,.0010034,-1789,280495,.0004955,-.006378,-.0025795
"Sanitary services",.0006844,.0029691,-.0507928,3311149,500,730600,6.64e+09,.0004987,.0010338,.0042565,-.0726933,1.27e+07,959.9999,928580,1.50e+10,.0008435,.0010097,.0047527,.0947222,2.89e+07,1123,1112210,3.56e+10,.0008113,.0017244,.0055811,.0828543,8.08e+07,2220,1287406,6.42e+10,.0012588,.0012654,.0026969,.1109929,7.51e+07,1530,1209075,9.13e+10,.0008226,570.0001,280495,.0008185,.0020321,-.0000209
"Savings institutions, including credit unions",,,,,,,,,.0023907,.0119252,.2211727,2.88e+07,2220,928580,1.50e+10,.0019187,.0013595,.0057114,.2384032,3.44e+07,1512,1112210,3.56e+10,.0009646,.0004389,.0027908,.1773752,1.71e+07,565,1287406,6.42e+10,.0002657,.0012406,.0055767,.2539121,7.57e+07,1500,1209075,9.13e+10,.0008297,-720,280495,.0006153,-.0025669,-.001089
"Metalworking machinery",.0047906,.0112721,.2730851,3.32e+07,3500,730600,6.64e+09,.0049983,.0039415,.0101797,.2337743,6.34e+07,3660,928580,1.50e+10,.0042227,.0021291,.0080094,.2468086,7.11e+07,2368,1112210,3.56e+10,.0019952,.0014914,.0086061,.2234601,8.18e+07,1920,1287406,6.42e+10,.0012747,.0012323,.0101562,.241529,8.97e+07,1490,1209075,9.13e+10,.0009824,-2170,280495,.0003444,-.0077363,-.0032403
"Motor vehicles and equipment",.0050643,.0170115,.1198526,3.18e+07,3700,730600,6.64e+09,.0047924,.0039846,.0135017,.110844,5.86e+07,3700,928580,1.50e+10,.0038999,.0029761,.0105441,.1139722,9.13e+07,3310,1112210,3.56e+10,.0025639,.0016125,.0085507,.0564911,7.89e+07,2076,1287406,6.42e+10,.0012285,.0011794,.0063698,.024087,6.91e+07,1426,1209075,9.13e+10,.0007568,-2274,280495,.0001379,-.0081071,-.0031431
"Administration of human resources programs",,,,,,,,,.00112,.0017316,.099368,1.41e+07,1040,928580,1.50e+10,.0009423,.0005404,.0013304,.0830594,1.51e+07,601,1112210,3.56e+10,.0004252,.0011209,.0022147,.084758,5.44e+07,1443,1287406,6.42e+10,.0008468,.0011397,.0016963,.0487651,7.38e+07,1378,1209075,9.13e+10,.000809,338,280495,.0007828,.001205,-.0001333
"Canned, frozen, and preserved fruits and vegetables",.001095,.0041472,-.0724639,4475127,800,730600,6.64e+09,.000674,.0011846,.0057555,.0426275,1.35e+07,1100,928580,1.50e+10,.0009016,.0008335,.0058424,.0729505,2.07e+07,927,1112210,3.56e+10,.0005818,.0008187,.0074642,.0710371,3.43e+07,1054,1287406,6.42e+10,.0005351,.0011149,.0076413,.0725701,6.15e+07,1348,1209075,9.13e+10,.0006733,248,280495,.0006283,.0008842,-.0002283
